Filename,True_Species,Top_Predicted_Species,Top_Prediction_Confidence,Top_Predictions_JSON,Is_Prediction_Correct?,Split,Score_Original,Score_Source0,Score_Source1,Ensemble_Score,Did_Separation_Help?,Score_Source2,Score_Source3,Score_Source4,Run_ID
XC1046832 - House Crow - Corvus splendens,Unknown Bird,Corvus splendens,0.997199296951294,"[{""species"": ""Corvus splendens"", ""confidence"": 0.997199296951294}]",No,test,0.0,0.0,,0.0,No,,,,
XC414667 - Soundscape,Unknown Bird,Mixornis gularis,0.9527897834777832,"[{""species"": ""Mixornis gularis"", ""confidence"": 0.9527897834777832}, {""species"": ""Copsychus malabaricus"", ""confidence"": 0.8592604398727417}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC414667 - Soundscape,Unknown Bird,Mixornis gularis,0.9835600852966307,"[{""species"": ""Mixornis gularis"", ""confidence"": 0.9835600852966309}, {""species"": ""Copsychus malabaricus"", ""confidence"": 0.8619371056556702}, {""species"": ""Corvus monedula"", ""confidence"": 0.8573131561279297}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,
XC414667 - Soundscape,Unknown Bird,Mixornis gularis,0.8884559869766235,"[{""species"": ""Mixornis gularis"", ""confidence"": 0.8884559869766235}, {""species"": ""Copsychus malabaricus"", ""confidence"": 0.8264066576957703}, {""species"": ""Corvus monedula"", ""confidence"": 0.8764073848724365}, {""species"": ""Gallus sonneratii"", ""confidence"": 0.35326528549194336}, {""species"": ""Power tools"", ""confidence"": 0.4245806336402893}]",No,test,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,
XC1092252 - House Sparrow - Passer domesticus,Unknown Bird,Passer domesticus,0.4056576788425445,"[{""species"": ""Passer domesticus"", ""confidence"": 0.40565767884254456}, {""species"": ""Luscinia svecica"", ""confidence"": 0.6848004460334778}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC1092252 - House Sparrow - Passer domesticus,Unknown Bird,Sturnus vulgaris,0.0669823288917541,"[{""species"": ""Sturnus vulgaris"", ""confidence"": 0.06698232889175415}]",No,test,0.0,0.0,,0.0,No,,,,
XC1089317 - House Sparrow - Passer domesticus,Unknown Bird,Passer domesticus,0.7560373544692993,"[{""species"": ""Passer domesticus"", ""confidence"": 0.7560373544692993}]",No,test,0.0,0.0,,0.0,No,,,,
XC565806 - Soundscape,Unknown Bird,Lyrurus tetrix,0.7957718372344971,"[{""species"": ""Lyrurus tetrix"", ""confidence"": 0.7957718372344971}, {""species"": ""Gavia arctica"", ""confidence"": 0.965309739112854}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC441581 - Red-vented Bulbul - Pycnonotus cafer humayuni,Unknown Bird,Pycnonotus cafer,0.9470343589782716,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.9470343589782715}]",No,test,0.0,0.0,,0.0,No,,,,d1030eaa-5672-4d6d-bcff-2379c586838c
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Phylloscopus humei,0.9950018525123596,"[{""species"": ""Phylloscopus humei"", ""confidence"": 0.9950018525123596}]",No,test,0.0,0.0,,0.0,No,,,,dd5534aa-eb6a-4b5d-8584-3187b92d6a78
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Pycnonotus cafer,0.926163375377655,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.926163375377655}, {""species"": ""Phylloscopus humei"", ""confidence"": 0.9993895292282104}]",No,test,0.0,0.0,0.0,0.0,No,,,,55766ba2-98c2-4653-b59b-a3a3b5171b87
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Phylloscopus humei,0.9950018525123596,"[{""species"": ""Phylloscopus humei"", ""confidence"": 0.9950018525123596}]",No,test,0.0,0.0,,0.0,No,,,,f3758909-f3d4-4583-89f7-12f1434584a1
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Pycnonotus cafer,0.9575127363204956,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.9575127363204956}, {""species"": ""Phylloscopus humei"", ""confidence"": 0.9992808699607849}, {""species"": ""Acrocephalus australis"", ""confidence"": 0.515570878982544}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,5775fab4-a4b9-418a-95bd-8841e21f08e3
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Pycnonotus cafer,0.926163375377655,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.926163375377655}, {""species"": ""Phylloscopus humei"", ""confidence"": 0.9993895292282104}]",No,test,0.0,0.0,0.0,0.0,No,,,,c44fdab1-5cbc-4a97-9e0e-b637ab7f3ff0
XC441581 - Red-vented Bulbul - Pycnonotus cafer humayuni,Unknown Bird,Pycnonotus cafer,0.9470343589782715,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.9470343589782715}]",No,test,0.0,0.0,,0.0,No,,,,7b6e567c-cbca-45dc-93c8-200ef7718025
